Date,Total Transaction #,Total Transaction Fee (USD),Fee per Transaction (USD),Close Price (USD),Fee %
10/17/13,45193,5661.888614,0.125282425,157.59,0.0795%
10/16/13,51947,5225.47658,0.100592461,152.82,0.0658%
10/15/13,57320,6525.947249,0.113851138,158.09,0.0720%
10/14/13,55763,3360.10861,0.060256956,151.37,0.0398%
10/13/13,51248,4042.356836,0.078878334,147.53,0.0535%
10/12/13,49674,4108.404436,0.082707341,142.89,0.0579%
10/11/13,54449,3610.066888,0.066301803,140.1,0.0473%
10/10/13,57769,3758.79475,0.065065948,140.41,0.0463%
10/9/13,46991,3169.530413,0.067449733,139.5,0.0484%
10/8/13,42865,2003.79818,0.046746721,136.49,0.0342%
10/7/13,43235,4078.737253,0.094338782,135.8,0.0695%
10/6/13,44751,2673.224338,0.059735522,137.8,0.0433%
10/5/13,47895,3245.222463,0.06775702,136.7,0.0496%
10/4/13,54796,4091.869592,0.074674604,136.82,0.0546%
10/3/13,61708,4721.730759,0.07651732,130.99,0.0584%
10/2/13,60542,3697.729746,0.061077099,123,0.0497%
10/1/13,55320,4579.178791,0.082776189,140.3,0.0590%
9/30/13,42073,3270.865753,0.077742632,141.9,0.0548%
9/29/13,41741,2530.548104,0.060624999,143.88,0.0421%
9/28/13,44660,3521.995681,0.07886242,142.5,0.0553%
9/27/13,50429,10393.98581,0.206111281,138.93,0.1484%
9/26/13,54262,3470.023135,0.063949415,137.1,0.0466%
9/25/13,58150,3827.41495,0.06581969,135,0.0488%
9/24/13,63563,3891.14959,0.061217211,134.78,0.0454%
9/23/13,60286,4474.409399,0.074219709,133.4,0.0556%
9/22/13,52686,3374.210886,0.064043786,134,0.0478%
9/21/13,53286,3232.981417,0.060672248,134.38,0.0451%
9/20/13,58990,4461.762226,0.075635908,133.81,0.0565%
9/19/13,59004,13828.19197,0.234360246,135.05,0.1735%
9/18/13,64383,38555.5818,0.598847239,140.41,0.4265%
9/17/13,66291,11600.03342,0.174986551,139.15,0.1258%
9/16/13,50391,3758.987346,0.074596403,139.42,0.0535%
9/15/13,46764,3032.17412,0.064839922,138.3,0.0469%
9/14/13,47147,2723.788854,0.057772262,136.71,0.0423%
9/13/13,48362,3390.143458,0.070099323,140.66,0.0498%
9/12/13,50982,3207.204669,0.062908569,139.35,0.0451%
9/11/13,49512,2930.561815,0.05918892,142.1,0.0417%
9/10/13,53551,3464.23425,0.064690375,132.62,0.0488%
9/9/13,54966,3702.894725,0.067367004,133.1,0.0506%
9/8/13,46470,2667.685695,0.057406621,126.32,0.0454%
9/7/13,54231,3292.420355,0.060711039,128.99,0.0471%
9/6/13,63412,4041.576281,0.063735197,121.9,0.0523%
9/5/13,60222,4234.514253,0.070315072,130.2,0.0540%
9/4/13,51136,3117.467869,0.06096425,132.51,0.0460%
9/3/13,50503,4032.768931,0.079852067,144,0.0555%
9/2/13,50456,6136.375202,0.121618345,144,0.0845%
9/1/13,45578,3308.10707,0.072581225,146.01,0.0497%
8/31/13,52533,4294.774581,0.081753842,141,0.0580%
8/30/13,60716,5404.212322,0.089008043,138.03,0.0645%
8/29/13,61525,5333.071195,0.086681368,129.3,0.0670%
8/28/13,63645,29039.80042,0.456277797,128.76,0.3544%
8/27/13,61016,6104.805961,0.100052543,131.29,0.0762%
8/26/13,53528,3069.166918,0.057337597,120.07,0.0478%
8/25/13,45094,3470.64894,0.076964761,122.11,0.0630%
8/24/13,51085,3053.122822,0.059765544,119.6,0.0500%
8/23/13,59969,3764.620291,0.062776106,118.51,0.0530%
