time,close,high,low,open,time,volumefrom,volumeto
2018-02-26 15:00:00,0.9369,0.9376,0.9257,0.9271,2018-02-26 15:00:00,4158814.92,3880780.19
2018-02-26 16:00:00,0.9267,0.9433,0.9254,0.9366,2018-02-26 16:00:00,4826905.69,4518337.92
2018-02-26 17:00:00,0.9275,0.9302,0.9217,0.9267,2018-02-26 17:00:00,3096609.23,2863926.86
2018-02-26 18:00:00,0.9259,0.9289,0.9227,0.9275,2018-02-26 18:00:00,2213708.48,2051649.87
2018-02-26 19:00:00,0.9227,0.9304,0.9224,0.9259,2018-02-26 19:00:00,1289010.46,1194461.6
2018-02-26 20:00:00,0.9278,0.9278,0.9169,0.9227,2018-02-26 20:00:00,1494504.1,1376402.26
2018-02-26 21:00:00,0.9263,0.9338,0.9235,0.9279,2018-02-26 21:00:00,2986127.69,2774717.62
2018-02-26 22:00:00,0.9308,0.934,0.9257,0.9264,2018-02-26 22:00:00,1081527.16,1008435.2
2018-02-26 23:00:00,0.9296,0.9316,0.9248,0.9308,2018-02-26 23:00:00,1055118.76,979192.74
2018-02-27 00:00:00,0.9303,0.9337,0.9248,0.9296,2018-02-27 00:00:00,991954.1,921009.97
2018-02-27 01:00:00,0.9215,0.933,0.9215,0.9303,2018-02-27 01:00:00,1562205.15,1448699.77
2018-02-27 02:00:00,0.9207,0.9254,0.9177,0.9215,2018-02-27 02:00:00,1156305.75,1064861.41
2018-02-27 03:00:00,0.9265,0.93,0.9194,0.9207,2018-02-27 03:00:00,1053770.66,974008.39
2018-02-27 04:00:00,0.9283,0.9313,0.925,0.9265,2018-02-27 04:00:00,858545.53,796878.24
2018-02-27 05:00:00,0.9319,0.9325,0.9258,0.9283,2018-02-27 05:00:00,1264758.65,1174960.27
2018-02-27 06:00:00,0.9306,0.9337,0.9269,0.9319,2018-02-27 06:00:00,953027.54,886580.35
2018-02-27 07:00:00,0.9512,0.9518,0.929,0.9306,2018-02-27 07:00:00,4760518.37,4487674.1
2018-02-27 08:00:00,0.9521,0.9579,0.9462,0.9512,2018-02-27 08:00:00,4644513.39,4425510.99
2018-02-27 09:00:00,0.9505,0.9541,0.9479,0.9521,2018-02-27 09:00:00,2492828.41,2374047.29
2018-02-27 10:00:00,0.9392,0.9508,0.9387,0.9505,2018-02-27 10:00:00,3282908.13,3098619.76
2018-02-27 11:00:00,0.9409,0.9439,0.938,0.9392,2018-02-27 11:00:00,2647442.05,2486404.64
2018-02-27 12:00:00,0.9393,0.9435,0.9372,0.9409,2018-02-27 12:00:00,2017673.3,1897572.82
2018-02-27 13:00:00,0.9536,0.9542,0.9379,0.9394,2018-02-27 13:00:00,3521207.24,3326818.83
2018-02-27 14:00:00,0.9364,0.9544,0.9349,0.9536,2018-02-27 14:00:00,2767714.02,2605926.45
2018-02-27 15:00:00,0.9288,0.9369,0.924,0.9364,2018-02-27 15:00:00,3720114.38,3454030.16
2018-02-27 16:00:00,0.9328,0.9345,0.928,0.9288,2018-02-27 16:00:00,1622861.26,1509784.33
2018-02-27 17:00:00,0.9279,0.9328,0.9267,0.9328,2018-02-27 17:00:00,1560122.23,1448780.35
2018-02-27 18:00:00,0.9323,0.9347,0.9279,0.9279,2018-02-27 18:00:00,1296916.75,1207731.97
2018-02-27 19:00:00,0.9385,0.9414,0.932,0.9323,2018-02-27 19:00:00,2037521.85,1910996.9
2018-02-27 20:00:00,0.9413,0.9428,0.9353,0.9385,2018-02-27 20:00:00,2154184.42,2023560.56
2018-02-27 21:00:00,0.9422,0.9453,0.9396,0.9413,2018-02-27 21:00:00,1248674.89,1176635.96
2018-02-27 22:00:00,0.9393,0.9451,0.9373,0.9422,2018-02-27 22:00:00,1763237.8,1667576.52
2018-02-27 23:00:00,0.9276,0.9416,0.9276,0.9393,2018-02-27 23:00:00,1788786.95,1671355.66
2018-02-28 00:00:00,0.9296,0.931,0.9266,0.9276,2018-02-28 00:00:00,1974048.01,1830641.57
2018-02-28 01:00:00,0.9321,0.9346,0.9269,0.9296,2018-02-28 01:00:00,1348937.12,1256717.09
2018-02-28 02:00:00,0.9377,0.9429,0.9313,0.9321,2018-02-28 02:00:00,2464805.03,2308236.61
2018-02-28 03:00:00,0.9409,0.9467,0.9371,0.9377,2018-02-28 03:00:00,1911553.9,1800870.09
2018-02-28 04:00:00,0.9407,0.946,0.9391,0.9409,2018-02-28 04:00:00,1489887.71,1405801.09
2018-02-28 05:00:00,0.937,0.9409,0.9326,0.9407,2018-02-28 05:00:00,1948601.98,1825048.24
2018-02-28 06:00:00,0.929,0.9433,0.9281,0.937,2018-02-28 06:00:00,4298294.31,4023691.58
2018-02-28 07:00:00,0.9215,0.9307,0.9202,0.929,2018-02-28 07:00:00,2714501.3,2508991.37
2018-02-28 08:00:00,0.9047,0.924,0.9034,0.9215,2018-02-28 08:00:00,3837015.89,3505295.67
2018-02-28 09:00:00,0.9131,0.9155,0.9025,0.9047,2018-02-28 09:00:00,2339373.18,2124019.91
2018-02-28 10:00:00,0.9043,0.9131,0.9016,0.9131,2018-02-28 10:00:00,2496272.75,2258475.02
2018-02-28 11:00:00,0.9031,0.9098,0.8983,0.9043,2018-02-28 11:00:00,2262391.34,2045008.1
2018-02-28 12:00:00,0.8903,0.9051,0.8888,0.903,2018-02-28 12:00:00,3471911.53,3106950.95
2018-02-28 13:00:00,0.8997,0.9021,0.8903,0.891,2018-02-28 13:00:00,1765880.06,1584980.54
2018-02-28 14:00:00,0.9053,0.9078,0.8984,0.8997,2018-02-28 14:00:00,2027578.03,1827985.75
2018-02-28 15:00:00,0.9046,0.9082,0.9035,0.9049,2018-02-28 15:00:00,1025647.48,929763.62
2018-02-28 16:00:00,0.8998,0.9084,0.8995,0.9046,2018-02-28 16:00:00,1482313.71,1338851.33
2018-02-28 17:00:00,0.9033,0.911,0.8994,0.8998,2018-02-28 17:00:00,1771452.76,1606430.36
2018-02-28 18:00:00,0.907,0.9093,0.9023,0.9033,2018-02-28 18:00:00,1469959.4,1332345.78
2018-02-28 19:00:00,0.9077,0.9081,0.9051,0.907,2018-02-28 19:00:00,386866.27,351339.86
2018-02-28 20:00:00,0.9112,0.9134,0.9075,0.9077,2018-02-28 20:00:00,1697754.96,1546789.21
2018-02-28 21:00:00,0.9008,0.9115,0.8995,0.9112,2018-02-28 21:00:00,3179397.76,2876561.39
2018-02-28 22:00:00,0.8953,0.9026,0.8936,0.9008,2018-02-28 22:00:00,1788231.08,1604469.39
2018-02-28 23:00:00,0.8853,0.8961,0.8817,0.8953,2018-02-28 23:00:00,3751994.69,3327431.47
2018-03-01 00:00:00,0.8925,0.8929,0.8826,0.8857,2018-03-01 00:00:00,2290300.94,2032065.82
2018-03-01 01:00:00,0.8915,0.8927,0.887,0.8925,2018-03-01 01:00:00,816400.01,725970.6
2018-03-01 02:00:00,0.8764,0.8936,0.8754,0.8916,2018-03-01 02:00:00,3076541.56,2711841.81
2018-03-01 03:00:00,0.8817,0.885,0.8764,0.8764,2018-03-01 03:00:00,2121383.71,1867998.97
2018-03-01 04:00:00,0.893,0.8958,0.8808,0.8815,2018-03-01 04:00:00,2343584.67,2082959.5
2018-03-01 05:00:00,0.8939,0.8952,0.8872,0.893,2018-03-01 05:00:00,1710934.04,1526991.79
2018-03-01 06:00:00,0.8882,0.8951,0.8864,0.8939,2018-03-01 06:00:00,1856678.51,1654106.38
2018-03-01 07:00:00,0.8973,0.8995,0.8882,0.8882,2018-03-01 07:00:00,1020361.07,913861.73
2018-03-01 08:00:00,0.9032,0.9043,0.8972,0.8972,2018-03-01 08:00:00,1513438.71,1365395.52
2018-03-01 09:00:00,0.8984,0.9036,0.8962,0.9032,2018-03-01 09:00:00,1019984.46,918716.65
2018-03-01 10:00:00,0.9061,0.9062,0.8981,0.8984,2018-03-01 10:00:00,1348123.56,1217519.8
2018-03-01 11:00:00,0.9049,0.9091,0.9038,0.9061,2018-03-01 11:00:00,829537.45,752663.24
2018-03-01 12:00:00,0.8995,0.9065,0.8985,0.9049,2018-03-01 12:00:00,1128197.03,1018763.7
2018-03-01 13:00:00,0.9306,0.9481,0.899,0.8995,2018-03-01 13:00:00,12226048.59,11430999.38
2018-03-01 14:00:00,0.9291,0.9415,0.9286,0.9306,2018-03-01 14:00:00,4428210.97,4136730.54
2018-03-01 15:00:00,0.9147,0.9304,0.9143,0.929,2018-03-01 15:00:00,4377823.5,4023056.79
2018-03-01 16:00:00,0.9191,0.9191,0.9135,0.9147,2018-03-01 16:00:00,1989559.67,1822627.07
2018-03-01 17:00:00,0.9206,0.9223,0.9168,0.9191,2018-03-01 17:00:00,1656380.41,1520611.95
2018-03-01 18:00:00,0.9297,0.9306,0.9197,0.9206,2018-03-01 18:00:00,2859367.93,2647380.56
2018-03-01 19:00:00,0.9198,0.9297,0.916,0.9297,2018-03-01 19:00:00,1968775.6,1813110.53
2018-03-01 20:00:00,0.9205,0.9288,0.9176,0.9198,2018-03-01 20:00:00,2367389.7,2182670.0
2018-03-01 21:00:00,0.9148,0.9227,0.9142,0.9205,2018-03-01 21:00:00,1267134.35,1164139.79
2018-03-01 22:00:00,0.9179,0.9194,0.9072,0.9148,2018-03-01 22:00:00,2493208.53,2271277.37
2018-03-01 23:00:00,0.9155,0.9208,0.9149,0.9179,2018-03-01 23:00:00,1464537.32,1343336.01
2018-03-02 00:00:00,0.9137,0.9211,0.9122,0.9155,2018-03-02 00:00:00,1473144.61,1349358.45
2018-03-02 01:00:00,0.9112,0.9158,0.9077,0.9137,2018-03-02 01:00:00,1922438.17,1754268.91
2018-03-02 02:00:00,0.9074,0.9117,0.9056,0.9112,2018-03-02 02:00:00,1417377.77,1286958.56
2018-03-02 03:00:00,0.9069,0.9126,0.9069,0.9074,2018-03-02 03:00:00,1049348.9,953471.18
2018-03-02 04:00:00,0.9077,0.9123,0.9065,0.9069,2018-03-02 04:00:00,1046128.37,950295.93
2018-03-02 05:00:00,0.9036,0.9078,0.9018,0.9077,2018-03-02 05:00:00,1822564.32,1647592.91
2018-03-02 06:00:00,0.9061,0.9069,0.9017,0.9036,2018-03-02 06:00:00,2512686.86,2269966.29
2018-03-02 07:00:00,0.9024,0.9072,0.9015,0.9061,2018-03-02 07:00:00,1078865.63,976395.26
2018-03-02 08:00:00,0.9073,0.9081,0.9007,0.9024,2018-03-02 08:00:00,1072401.93,970898.81
2018-03-02 09:00:00,0.8942,0.9078,0.8934,0.9073,2018-03-02 09:00:00,1653156.81,1486947.28
2018-03-02 10:00:00,0.8975,0.8981,0.8923,0.8942,2018-03-02 10:00:00,1373876.54,1228586.02
2018-03-02 11:00:00,0.8984,0.9006,0.8925,0.8975,2018-03-02 11:00:00,1250727.41,1122238.91
2018-03-02 12:00:00,0.9016,0.9036,0.8969,0.8984,2018-03-02 12:00:00,1870746.42,1684277.12
